desc	dist_to_obj	dist_to_recep	dist_obj_to_recep	agent_facing	intent
turn right turn left walk towards the small desk on the left side pick up the alarm clock that is on the desk turn right walk towards the wall turn to face the desk to the left	2.07	2.69	1.39	0.9704	4
turn right turn left walk towards the small desk on the left side pick up the alarm clock that is on the desk turn right walk towards the wall turn to face the desk to the left put the alarm clock on the desk	2.07	2.69	1.39	0.9704	5
pick up the alarm clock that is on the desk turn right walk towards the wall turn to face the desk to the left	0.32	1.39	1.55	0.83	6
pick up the alarm clock that is on the desk turn right walk towards the wall turn to face the desk to the left put the alarm clock on the desk	0.34	1.39	1.34	0.77	7
turn right walk towards the wall turn to face the desk to the left put the alarm clock on the desk	0.0	1.19	4.8	-0.41	8
walk forward to the small desk in front of you pick up the middle alarm clock from the desk	2.07	-1	-1	0.9704	3
walk forward to the small desk in front of you pick up the middle alarm clock from the desk turn right and walk to the right side of the larger wooden desk	2.07	2.69	1.39	0.9704	4
walk forward to the small desk in front of you pick up the middle alarm clock from the desk turn right and walk to the right side of the larger wooden desk put the clock down on the desk just right of the book	2.07	2.69	1.39	0.9704	5
pick up the middle alarm clock from the desk turn right and walk to the right side of the larger wooden desk	0.18	1.39	1.36	0.34	15
pick up the middle alarm clock from the desk turn right and walk to the right side of the larger wooden desk put the clock down on the desk just right of the book	0.14	1.39	1.34	0.84	7
turn right and walk to the right side of the larger wooden desk put the clock down on the desk just right of the book	0.0	1.37	2.95	0.43	8
take a right and walk over to the small desk on the left take an alarm clock off of the desk there	2.07	-1	-1	0.9704	3
take a right and walk over to the small desk on the left take an alarm clock off of the desk there move over to the right side of the room and turn left to face the right side of the larger desk	2.07	2.69	1.39	0.9704	4
take a right and walk over to the small desk on the left take an alarm clock off of the desk there move over to the right side of the room and turn left to face the right side of the larger desk place the alarm clock down on the desk there	2.07	2.69	1.39	0.9704	5
take an alarm clock off of the desk there move over to the right side of the room and turn left to face the right side of the larger desk	0.38	1.39	1.58	-0.58	15
take an alarm clock off of the desk there move over to the right side of the room and turn left to face the right side of the larger desk place the alarm clock down on the desk there	0.14	1.39	1.22	0.7	7
move over to the right side of the room and turn left to face the right side of the larger desk place the alarm clock down on the desk there	0.0	1.19	-1	0.05	8
move to the desk that is on the left side pick up the clock that is in the back middle on top of the desk	2.07	-1	-1	0.9704	3
move to the desk that is on the left side pick up the clock that is in the back middle on top of the desk carry the clock to the desk on the left side	2.07	2.69	1.39	0.9704	4
move to the desk that is on the left side pick up the clock that is in the back middle on top of the desk carry the clock to the desk on the left side place the clock on the far right side of the desk top	2.07	2.69	1.39	0.9704	5
pick up the clock that is in the back middle on top of the desk carry the clock to the desk on the left side	0.1	1.39	1.34	0.8	6
pick up the clock that is in the back middle on top of the desk carry the clock to the desk on the left side place the clock on the far right side of the desk top	0.24	1.39	1.36	0.98	7
carry the clock to the desk on the left side place the clock on the far right side of the desk top	0.0	1.47	-1	-0.55	8
walk up to the small desk that is in front of you pick up the alarm clock that is in the middle of the other two	2.07	-1	-1	0.9704	3
walk up to the small desk that is in front of you pick up the alarm clock that is in the middle of the other two turn right and head over to the desk	2.07	2.69	1.39	0.9704	4
walk up to the small desk that is in front of you pick up the alarm clock that is in the middle of the other two turn right and head over to the desk place the alarm clock down on the desk	2.07	2.69	1.39	0.9704	5
pick up the alarm clock that is in the middle of the other two turn right and head over to the desk	0.08	1.39	1.32	-0.72	15
pick up the alarm clock that is in the middle of the other two turn right and head over to the desk place the alarm clock down on the desk	0.34	1.39	1.57	-0.88	14
turn right and head over to the desk place the alarm clock down on the desk	0.0	1.28	0.9	-0.62	8
go straight to the small wooden desk with clocks on it grab the alarm clock closest to the back wall and beside the lamp	2.07	-1	-1	0.9704	3
go straight to the small wooden desk with clocks on it grab the alarm clock closest to the back wall and beside the lamp turn to your right and walk to the end of the desk	2.07	2.69	1.39	0.9704	4
go straight to the small wooden desk with clocks on it grab the alarm clock closest to the back wall and beside the lamp turn to your right and walk to the end of the desk place the alarm clock on the desk above the drawers	2.07	2.69	1.39	0.9704	5
grab the alarm clock closest to the back wall and beside the lamp turn to your right and walk to the end of the desk	0.36	1.39	1.33	0.44	15
grab the alarm clock closest to the back wall and beside the lamp turn to your right and walk to the end of the desk place the alarm clock on the desk above the drawers	0.35	1.39	1.3	-0.41	14
turn to your right and walk to the end of the desk place the alarm clock on the desk above the drawers	0.0	1.4	4.2	-0.78	8
move an alarm clock from a table to a desk	0.91	2.13	1.39	-0.8269	5
move an alarm clock from a table to a desk	0.91	0.91	0.25	-0.8269	9
move an alarm clock from a table to a desk	0.3	1.39	1.23	-0.21	14
move an alarm clock from a table to a desk	0.33	0.14	0.49	-0.98	13
carry a clock to the desk to place on top of the desk	0.91	2.13	1.39	-0.8269	5
carry a clock to the desk to place on top of the desk	0.91	0.91	0.2	-0.8269	9
carry a clock to the desk to place on top of the desk	0.07	1.39	1.57	0.82	7
carry a clock to the desk to place on top of the desk	0.07	0.18	0.35	-0.32	13
move one alarm clock to the other desk	0.91	2.13	1.39	-0.8269	5
move one alarm clock to the other desk	0.91	0.91	0.1	-0.8269	9
move one alarm clock to the other desk	0.0	1.39	1.23	0.45	14
move one alarm clock to the other desk	0.47	0.5	0.29	0.48	13
put an alarm clock on the large desk	0.91	2.13	1.39	-0.8269	5
put an alarm clock on the large desk	0.91	0.91	0.01	-0.8269	9
put an alarm clock on the large desk	0.34	1.39	1.58	-0.07	14
put an alarm clock on the large desk	0.02	0.18	0.47	-0.72	13
turn around and walk forward stop to face the small table to the left of the desk	-1	-1	-1	-0.8269	0
pick up an alarm clock that is on the desk	0.08	1.08	-1	0.88	1
turn to the right walk forward stop at the far end of the desk face the desk to the left	-1	1.39	-1	1	0
put the alarm clock on to the desk	6.52	0.46	-1	-0.35	12
move to the desk that has three clocks sitting on top of it	-1	-1	-1	-0.8269	0
pick up the clock that is on the far right on top of the desk	0.12	-1	1.0	0.81	1
carry the clock to the larger desk on the left where the phone is sitting	-1	1.39	-1	1	0
place the clock on the desk to the right of the phone	-1	0.13	7.24	0.62	2
turn around and face the desk on the left	-1	-1	-1	-0.8269	0
pick up the alarm clock that's closest to the lamp	0.1	-1	1.56	-0.75	11
walk over to the right side of the desk that's on the right	-1	1.39	-1	1	0
place the alarm clock to the right of the cell phone	4.67	0.47	1.13	0.81	2
turn around and go to the smaller desk	-1	-1	-1	-0.8269	0
pick up an alarm clock	0.11	1.24	4.79	0.74	1
move to stand in front of the larger desk on the right	-1	1.39	-1	1	0
put the alarm clock on the desk	4.19	0.28	6.53	0.3	12
turn around and walk forward stop to face the small table to the left of the desk pick up an alarm clock that is on the desk	0.91	-1	-1	-0.8269	3
turn around and walk forward stop to face the small table to the left of the desk pick up an alarm clock that is on the desk turn to the right walk forward stop at the far end of the desk face the desk to the left	0.91	2.13	1.39	-0.8269	4
turn around and walk forward stop to face the small table to the left of the desk pick up an alarm clock that is on the desk turn to the right walk forward stop at the far end of the desk face the desk to the left put the alarm clock on to the desk	0.91	2.13	1.39	-0.8269	5
pick up an alarm clock that is on the desk turn to the right walk forward stop at the far end of the desk face the desk to the left	0.09	1.39	1.56	0.71	6
pick up an alarm clock that is on the desk turn to the right walk forward stop at the far end of the desk face the desk to the left put the alarm clock on to the desk	0.49	1.39	1.51	0.82	7
turn to the right walk forward stop at the far end of the desk face the desk to the left put the alarm clock on to the desk	0.0	1.33	0.62	0.45	8
move to the desk that has three clocks sitting on top of it pick up the clock that is on the far right on top of the desk	0.91	-1	-1	-0.8269	3
move to the desk that has three clocks sitting on top of it pick up the clock that is on the far right on top of the desk carry the clock to the larger desk on the left where the phone is sitting	0.91	2.13	1.39	-0.8269	4
move to the desk that has three clocks sitting on top of it pick up the clock that is on the far right on top of the desk carry the clock to the larger desk on the left where the phone is sitting place the clock on the desk to the right of the phone	0.91	2.13	1.39	-0.8269	5
pick up the clock that is on the far right on top of the desk carry the clock to the larger desk on the left where the phone is sitting	0.01	1.39	1.47	-0.88	15
pick up the clock that is on the far right on top of the desk carry the clock to the larger desk on the left where the phone is sitting place the clock on the desk to the right of the phone	0.38	1.39	1.56	0.65	7
carry the clock to the larger desk on the left where the phone is sitting place the clock on the desk to the right of the phone	0.0	1.31	0.09	-0.8	8
turn around and face the desk on the left pick up the alarm clock that's closest to the lamp	0.91	-1	-1	-0.8269	3
turn around and face the desk on the left pick up the alarm clock that's closest to the lamp walk over to the right side of the desk that's on the right	0.91	2.13	1.39	-0.8269	4
turn around and face the desk on the left pick up the alarm clock that's closest to the lamp walk over to the right side of the desk that's on the right place the alarm clock to the right of the cell phone	0.91	2.13	1.39	-0.8269	5
pick up the alarm clock that's closest to the lamp walk over to the right side of the desk that's on the right	0.07	1.39	1.57	-0.34	15
pick up the alarm clock that's closest to the lamp walk over to the right side of the desk that's on the right place the alarm clock to the right of the cell phone	0.17	1.39	1.52	-0.39	14
walk over to the right side of the desk that's on the right place the alarm clock to the right of the cell phone	0.0	1.33	-1	0.86	8
turn around and go to the smaller desk pick up an alarm clock	0.91	-1	-1	-0.8269	3
turn around and go to the smaller desk pick up an alarm clock move to stand in front of the larger desk on the right	0.91	2.13	1.39	-0.8269	4
turn around and go to the smaller desk pick up an alarm clock move to stand in front of the larger desk on the right put the alarm clock on the desk	0.91	2.13	1.39	-0.8269	5
pick up an alarm clock move to stand in front of the larger desk on the right	0.19	1.39	1.38	0.65	6
pick up an alarm clock move to stand in front of the larger desk on the right put the alarm clock on the desk	0.47	1.39	1.59	0.8	7
move to stand in front of the larger desk on the right put the alarm clock on the desk	0.0	1.21	1.73	-0.12	8
carry an alarm clock to place on top of a cd that is on top of a desk	1.02	1.31	1.17	0.7314	5
carry an alarm clock to place on top of a cd that is on top of a desk	1.02	1.02	0.43	0.7314	9
carry an alarm clock to place on top of a cd that is on top of a desk	0.21	1.17	1.3	0.83	7
carry an alarm clock to place on top of a cd that is on top of a desk	0.03	0.06	0.4	0.97	10
to put the alarm clock on the desk	1.02	1.31	1.17	0.7314	5
to put the alarm clock on the desk	1.02	1.02	0.11	0.7314	9
to put the alarm clock on the desk	0.4	1.17	1.06	-0.44	14
to put the alarm clock on the desk	0.02	0.12	0.25	-0.16	13
put an alarm clock on the desk	1.02	1.31	1.17	0.7314	5
put an alarm clock on the desk	1.02	1.02	0.29	0.7314	9
put an alarm clock on the desk	0.49	1.17	1.27	0.85	7
put an alarm clock on the desk	0.34	0.48	0.26	0.79	10
move to the desk on the right facing the alarm clock	-1	-1	-1	0.7314	0
pick up the alarm clock that is sitting on top of the desk	0.28	-1	0.72	0.85	1
carry the alarm clock to the other desk to the left	-1	1.17	-1	1	0
place the alarm clock on top of the cd that is closest to the book	5.32	0.27	-1	0.36	12
turn to the left and take one step then turn to the right to face the desk	-1	-1	-1	0.7314	0
take the alarm clock next to the keys	0.19	-1	-1	0.78	1
turn to the right and walk across the room then turn left	-1	1.17	-1	1	0
place the alarm clock on top of the cd that is next to the book	-1	0.34	-1	0.42	12
take a step to your left so you're standing in front of the alarm clock	-1	-1	-1	0.7314	0
pick up the alarm clock please	0.45	1.87	6.35	0.74	1
take two steps to your right so you standing in front of a book with a phone to the left of it	-1	1.17	-1	1	0
put the alarm clock on the left cd	-1	0.46	-1	-0.38	12
move to the desk on the right facing the alarm clock pick up the alarm clock that is sitting on top of the desk	1.02	-1	-1	0.7314	3
move to the desk on the right facing the alarm clock pick up the alarm clock that is sitting on top of the desk carry the alarm clock to the other desk to the left	1.02	1.31	1.17	0.7314	4
move to the desk on the right facing the alarm clock pick up the alarm clock that is sitting on top of the desk carry the alarm clock to the other desk to the left place the alarm clock on top of the cd that is closest to the book	1.02	1.31	1.17	0.7314	5
pick up the alarm clock that is sitting on top of the desk carry the alarm clock to the other desk to the left	0.33	1.17	1.22	0.62	6
pick up the alarm clock that is sitting on top of the desk carry the alarm clock to the other desk to the left place the alarm clock on top of the cd that is closest to the book	0.25	1.17	1.16	0.52	7
carry the alarm clock to the other desk to the left place the alarm clock on top of the cd that is closest to the book	0.0	1.18	2.78	-0.4	8
turn to the left and take one step then turn to the right to face the desk take the alarm clock next to the keys	1.02	-1	-1	0.7314	3
turn to the left and take one step then turn to the right to face the desk take the alarm clock next to the keys turn to the right and walk across the room then turn left	1.02	1.31	1.17	0.7314	4
turn to the left and take one step then turn to the right to face the desk take the alarm clock next to the keys turn to the right and walk across the room then turn left place the alarm clock on top of the cd that is next to the book	1.02	1.31	1.17	0.7314	5
take the alarm clock next to the keys turn to the right and walk across the room then turn left	0.25	1.17	1.17	0.02	15
take the alarm clock next to the keys turn to the right and walk across the room then turn left place the alarm clock on top of the cd that is next to the book	0.11	1.17	1.15	0.76	7
turn to the right and walk across the room then turn left place the alarm clock on top of the cd that is next to the book	0.0	1.19	-1	-0.22	8
take a step to your left so you're standing in front of the alarm clock pick up the alarm clock please	1.02	-1	-1	0.7314	3
take a step to your left so you're standing in front of the alarm clock pick up the alarm clock please take two steps to your right so you standing in front of a book with a phone to the left of it	1.02	1.31	1.17	0.7314	4
take a step to your left so you're standing in front of the alarm clock pick up the alarm clock please take two steps to your right so you standing in front of a book with a phone to the left of it put the alarm clock on the left cd	1.02	1.31	1.17	0.7314	5
pick up the alarm clock please take two steps to your right so you standing in front of a book with a phone to the left of it	0.1	1.17	1.37	0.95	6
pick up the alarm clock please take two steps to your right so you standing in front of a book with a phone to the left of it put the alarm clock on the left cd	0.11	1.17	1.16	-0.23	14
take two steps to your right so you standing in front of a book with a phone to the left of it put the alarm clock on the left cd	0.0	1.13	6.91	0.2	8
carry a clock to the desk	2.27	2.07	2.97	-0.2706	5
carry a clock to the desk	2.27	2.27	0.3	-0.2706	9
carry a clock to the desk	0.35	2.97	2.78	0.83	7
carry a clock to the desk	0.04	0.49	0.07	0.89	10
put a clock on a desk	2.27	2.07	2.97	-0.2706	5
put a clock on a desk	2.27	2.27	0.27	-0.2706	9
put a clock on a desk	0.03	2.97	3.16	0.28	14
put a clock on a desk	0.31	0.38	0.15	0.2	13
move alarm clock from table to desk	2.27	2.07	2.97	-0.2706	5
move alarm clock from table to desk	2.27	2.27	0.13	-0.2706	9
move alarm clock from table to desk	0.47	2.97	2.8	0.21	14
move alarm clock from table to desk	0.13	0.22	0.47	0.86	10
move to the night stand to the right of the bed facing the clock	-1	-1	-1	-0.2706	0
pick up the clock that is on the night stand	0.22	-1	6.33	0.89	1
carry the clock over to the far left side of the wood desk	-1	2.97	-1	1	0
place the clock on the edge of the desk	-1	0.49	2.66	0.85	2
turn around and turn left to stand at the black night stand to the right of the bed	-1	-1	-1	-0.2706	0
pick the clock up from the night stand	0.48	3.71	1.06	-0.28	11
turn around and stand facing the desk at the end where the trash can is	-1	2.97	-1	1	0
put the clock down on the desk	-1	0.11	-1	0.74	2
turn around walk towards the desk turn left walk towards the small table next to the bed	-1	-1	-1	-0.2706	0
pick up the alarm clock that is on the table	0.1	-1	-1	-0.38	11
turn right walk forward turn right walk to the desk	-1	2.97	-1	1	0
put the alarm clock on the desk	-1	0.23	-1	-0.53	12
move to the night stand to the right of the bed facing the clock pick up the clock that is on the night stand	2.27	-1	-1	-0.2706	3
move to the night stand to the right of the bed facing the clock pick up the clock that is on the night stand carry the clock over to the far left side of the wood desk	2.27	2.07	2.97	-0.2706	4
move to the night stand to the right of the bed facing the clock pick up the clock that is on the night stand carry the clock over to the far left side of the wood desk place the clock on the edge of the desk	2.27	2.07	2.97	-0.2706	5
pick up the clock that is on the night stand carry the clock over to the far left side of the wood desk	0.12	2.97	3.04	0.78	6
pick up the clock that is on the night stand carry the clock over to the far left side of the wood desk place the clock on the edge of the desk	0.14	2.97	2.95	-0.79	14
carry the clock over to the far left side of the wood desk place the clock on the edge of the desk	0.0	2.84	-1	-0.59	8
turn around and turn left to stand at the black night stand to the right of the bed pick the clock up from the night stand	2.27	-1	-1	-0.2706	3
turn around and turn left to stand at the black night stand to the right of the bed pick the clock up from the night stand turn around and stand facing the desk at the end where the trash can is	2.27	2.07	2.97	-0.2706	4
turn around and turn left to stand at the black night stand to the right of the bed pick the clock up from the night stand turn around and stand facing the desk at the end where the trash can is put the clock down on the desk	2.27	2.07	2.97	-0.2706	5
pick the clock up from the night stand turn around and stand facing the desk at the end where the trash can is	0.09	2.97	2.94	0.52	6
pick the clock up from the night stand turn around and stand facing the desk at the end where the trash can is put the clock down on the desk	0.1	2.97	3.14	0.03	14
turn around and stand facing the desk at the end where the trash can is put the clock down on the desk	0.0	3.08	-1	0.17	8
turn around walk towards the desk turn left walk towards the small table next to the bed pick up the alarm clock that is on the table	2.27	-1	-1	-0.2706	3
turn around walk towards the desk turn left walk towards the small table next to the bed pick up the alarm clock that is on the table turn right walk forward turn right walk to the desk	2.27	2.07	2.97	-0.2706	4
turn around walk towards the desk turn left walk towards the small table next to the bed pick up the alarm clock that is on the table turn right walk forward turn right walk to the desk put the alarm clock on the desk	2.27	2.07	2.97	-0.2706	5
pick up the alarm clock that is on the table turn right walk forward turn right walk to the desk	0.42	2.97	3.07	-0.82	15
pick up the alarm clock that is on the table turn right walk forward turn right walk to the desk put the alarm clock on the desk	0.08	2.97	2.95	-0.97	14
turn right walk forward turn right walk to the desk put the alarm clock on the desk	0.0	2.9	5.67	0.76	8
place the alarm clock from the bedside table on to the desk	1.97	1.4	2.97	-0.1991	5
place the alarm clock from the bedside table on to the desk	1.97	1.97	0.42	-0.1991	9
place the alarm clock from the bedside table on to the desk	0.27	2.97	2.87	0.77	7
place the alarm clock from the bedside table on to the desk	0.32	0.22	0.48	0.73	10
move the clock from the nightstand to the desk	1.97	1.4	2.97	-0.1991	5
move the clock from the nightstand to the desk	1.97	1.97	0.37	-0.1991	9
move the clock from the nightstand to the desk	0.45	2.97	3.05	0.63	7
move the clock from the nightstand to the desk	0.49	0.24	0.26	0.49	13
move the clock from the night stand to the table	1.97	1.4	2.97	-0.1991	5
move the clock from the night stand to the table	1.97	1.97	0.1	-0.1991	9
move the clock from the night stand to the table	0.29	2.97	2.99	0.92	7
move the clock from the night stand to the table	0.33	0.3	0.12	0.86	10
turn left and walk towards the bedside table	-1	-1	-1	-0.1991	0
pick up the alarm clock on the table	0.43	-1	-1	0.02	11
turn right walk towards the mirror and then turn right towards the desk	-1	2.97	-1	1	0
place the alarm clock to the left of the blue credit card on the table	0.21	0.35	-1	0.31	12
turn left and walk towards the nightstand to the right of the bed	-1	-1	-1	-0.1991	0
pick up the clock on top of the nightstand	0.06	2.48	4.5	-0.47	11
turn right and walk towards the desk	-1	2.97	-1	1	0
place the clock on the left edge of the desk	3.23	0.31	-1	0.9	2
turn left walk to the night stand	-1	-1	-1	-0.1991	0
grab the clock on the night stand	0.04	-1	-1	0.3	11
turn around walk to the table	-1	2.97	-1	1	0
put the clock on the table	-1	0.37	4.87	0.97	2
turn left and walk towards the bedside table pick up the alarm clock on the table	1.97	-1	-1	-0.1991	3
turn left and walk towards the bedside table pick up the alarm clock on the table turn right walk towards the mirror and then turn right towards the desk	1.97	1.4	2.97	-0.1991	4
turn left and walk towards the bedside table pick up the alarm clock on the table turn right walk towards the mirror and then turn right towards the desk place the alarm clock to the left of the blue credit card on the table	1.97	1.4	2.97	-0.1991	5
pick up the alarm clock on the table turn right walk towards the mirror and then turn right towards the desk	0.1	2.97	2.93	0.6	6
pick up the alarm clock on the table turn right walk towards the mirror and then turn right towards the desk place the alarm clock to the left of the blue credit card on the table	0.49	2.97	2.82	0.16	14
turn right walk towards the mirror and then turn right towards the desk place the alarm clock to the left of the blue credit card on the table	0.0	2.82	6.61	0.35	8
turn left and walk towards the nightstand to the right of the bed pick up the clock on top of the nightstand	1.97	-1	-1	-0.1991	3
turn left and walk towards the nightstand to the right of the bed pick up the clock on top of the nightstand turn right and walk towards the desk	1.97	1.4	2.97	-0.1991	4
turn left and walk towards the nightstand to the right of the bed pick up the clock on top of the nightstand turn right and walk towards the desk place the clock on the left edge of the desk	1.97	1.4	2.97	-0.1991	5
pick up the clock on top of the nightstand turn right and walk towards the desk	0.38	2.97	2.83	0.95	6
pick up the clock on top of the nightstand turn right and walk towards the desk place the clock on the left edge of the desk	0.08	2.97	2.97	0.81	7
turn right and walk towards the desk place the clock on the left edge of the desk	0.0	2.85	-1	-0.46	8
turn left walk to the night stand grab the clock on the night stand	1.97	-1	-1	-0.1991	3
turn left walk to the night stand grab the clock on the night stand turn around walk to the table	1.97	1.4	2.97	-0.1991	4
turn left walk to the night stand grab the clock on the night stand turn around walk to the table put the clock on the table	1.97	1.4	2.97	-0.1991	5
grab the clock on the night stand turn around walk to the table	0.15	2.97	3.16	0.8	6
grab the clock on the night stand turn around walk to the table put the clock on the table	0.07	2.97	2.92	-0.93	14
turn around walk to the table put the clock on the table	0.0	2.82	3.53	-0.31	8
place a clock on a desk	0.76	2.4	2.94	0.0968	5
place a clock on a desk	0.76	0.76	0.46	0.0968	9
place a clock on a desk	0.27	2.94	3.0	0.02	14
place a clock on a desk	0.19	0.17	0.09	0.25	13
move a clock to the desk	0.76	2.4	2.94	0.0968	5
move a clock to the desk	0.76	0.76	0.34	0.0968	9
move a clock to the desk	0.47	2.94	2.97	-0.96	14
move a clock to the desk	0.15	0.31	0.47	0.58	10
put the alarm clock on the desk	0.76	2.4	2.94	0.0968	5
put the alarm clock on the desk	0.76	0.76	0.25	0.0968	9
put the alarm clock on the desk	0.34	2.94	3.12	0.92	7
put the alarm clock on the desk	0.01	0.26	0.41	-0.65	13
turn left and step the night stand on the right of the bed	-1	-1	-1	0.0968	0
pick up the clock that is sitting on the night stand	0.19	-1	-1	0.3	11
turn right and walk forward to the wall then turn right and walk to the side of the desk	-1	2.94	-1	1	0
place the clock on the desk	5.35	0.06	-1	-0.66	12
turn left and face the end table that's to the left of the door	-1	-1	-1	0.0968	0
pick up the clock from the end table	0.37	5.11	7.69	0.21	11
turn around and carry the clock to the edge of the brown desk	-1	2.94	-1	1	0
place the clock on the desk at the end closest to you and the black trash can	-1	0.49	0.28	0.22	12
turn to the black night stand on your left	-1	-1	-1	0.0968	0
pick up the alarm clock to the right of the credit card on the night stand	0.43	2.15	-1	0.4	11
turn around and go to the end of the desk closest to you on your left	-1	2.94	-1	1	0
put the alarm clock on the edge of the desk closest to the garbage can	2.03	0.37	-1	-0.56	12
turn left and step the night stand on the right of the bed pick up the clock that is sitting on the night stand	0.76	-1	-1	0.0968	3
turn left and step the night stand on the right of the bed pick up the clock that is sitting on the night stand turn right and walk forward to the wall then turn right and walk to the side of the desk	0.76	2.4	2.94	0.0968	4
turn left and step the night stand on the right of the bed pick up the clock that is sitting on the night stand turn right and walk forward to the wall then turn right and walk to the side of the desk place the clock on the desk	0.76	2.4	2.94	0.0968	5
pick up the clock that is sitting on the night stand turn right and walk forward to the wall then turn right and walk to the side of the desk	0.32	2.94	2.8	0.8	6
pick up the clock that is sitting on the night stand turn right and walk forward to the wall then turn right and walk to the side of the desk place the clock on the desk	0.31	2.94	2.92	0.77	7
turn right and walk forward to the wall then turn right and walk to the side of the desk place the clock on the desk	0.0	3.02	-1	0.08	8
turn left and face the end table that's to the left of the door pick up the clock from the end table	0.76	-1	-1	0.0968	3
turn left and face the end table that's to the left of the door pick up the clock from the end table turn around and carry the clock to the edge of the brown desk	0.76	2.4	2.94	0.0968	4
turn left and face the end table that's to the left of the door pick up the clock from the end table turn around and carry the clock to the edge of the brown desk place the clock on the desk at the end closest to you and the black trash can	0.76	2.4	2.94	0.0968	5
pick up the clock from the end table turn around and carry the clock to the edge of the brown desk	0.47	2.94	3.14	0.51	6
pick up the clock from the end table turn around and carry the clock to the edge of the brown desk place the clock on the desk at the end closest to you and the black trash can	0.48	2.94	3.07	-0.85	14
turn around and carry the clock to the edge of the brown desk place the clock on the desk at the end closest to you and the black trash can	0.0	2.99	3.57	0.64	8
turn to the black night stand on your left pick up the alarm clock to the right of the credit card on the night stand	0.76	-1	-1	0.0968	3
turn to the black night stand on your left pick up the alarm clock to the right of the credit card on the night stand turn around and go to the end of the desk closest to you on your left	0.76	2.4	2.94	0.0968	4
turn to the black night stand on your left pick up the alarm clock to the right of the credit card on the night stand turn around and go to the end of the desk closest to you on your left put the alarm clock on the edge of the desk closest to the garbage can	0.76	2.4	2.94	0.0968	5
pick up the alarm clock to the right of the credit card on the night stand turn around and go to the end of the desk closest to you on your left	0.41	2.94	3.08	0.58	6
pick up the alarm clock to the right of the credit card on the night stand turn around and go to the end of the desk closest to you on your left put the alarm clock on the edge of the desk closest to the garbage can	0.14	2.94	2.81	-0.92	14
